TIME(2022/02/09 15:49:20.545),TIMETICK(f=10000000),FPOGX,FPOGY
0.0,724198955028,0.0,0.0
0.00531,724199008037,0.0,0.0
0.01202,724199075595,0.0,0.0
0.01935,724199148359,0.0,0.0
0.02582,724199213165,0.0,0.0
0.03174,724199272686,0.0,0.0
0.03827,724199337667,0.0,0.0
0.04657,724199420504,0.0,0.0
0.05365,724199491325,0.0,0.0
0.06165,724199571516,0.0,0.0
0.07001,724199655268,0.0,0.0
0.07654,724199720193,0.0,0.0
0.08325,724199787701,0.0,0.0
0.08929,724199847697,0.0,0.0
0.09656,724199920857,0.0,0.0
0.10327,724199987583,0.14675,0.02895
0.11023,724200057380,0.29145,0.06814
0.1142,724200096774,0.28887,0.07604
0.12018,724200156825,0.29154,0.07177
0.12561,724200211269,0.29137,0.06932
0.13318,724200286562,0.29089,0.06849
0.14044,724200359317,0.29072,0.06894
0.14557,724200410502,0.29142,0.07028
0.1524,724200479152,0.29207,0.07104
0.15912,724200546218,0.29394,0.0691
0.16577,724200613008,0.29341,0.06722
0.1723,724200677955,0.29297,0.06569
0.17914,724200746560,0.2924,0.06472
0.18591,724200814394,0.2924,0.06533
0.1925,724200880126,0.29241,0.06585
0.19934,724200948765,0.29227,0.06666
0.2063,724201018088,0.29211,0.0673
0.21429,724201098115,0.29204,0.06777
0.21936,724201148924,0.29203,0.06741
0.22717,724201226582,0.29287,0.06681
0.23395,724201294436,0.29363,0.06628
0.24048,724201359770,0.29411,0.06606
0.24713,724201426071,0.29424,0.06608
0.2547,724201501947,0.29431,0.06617
0.25946,724201549440,0.2941,0.06632
0.2663,724201617841,0.29426,0.06604
0.27301,724201684880,0.29441,0.06578
0.27966,724201751959,0.29495,0.06518
0.28644,724201819275,0.29551,0.06538
0.29309,724201885815,0.29605,0.0655
0.29956,724201950916,0.2966,0.06445
0.30652,724202020021,0.29623,0.06439
0.31317,724202086534,0.29589,0.06434
0.32147,724202169509,0.29602,0.06503
0.32733,724202228574,0.29578,0.06553
0.33423,724202297581,0.29552,0.06606
0.34125,724202367832,0.29544,0.06561
0.34747,724202429783,0.29544,0.06588
0.35468,724202501533,0.29548,0.06608
0.3606,724202561148,0.29574,0.0657
0.37036,724202658943,0.29594,0.06621
0.37866,724202741614,0.29616,0.06664
0.38171,724202772481,0.29621,0.0666
0.38684,724202823172,0.29615,0.06644
0.39355,724202890477,0.29607,0.06632
0.40002,724202955455,0.2961,0.06641
0.40674,724203022351,0.29629,0.067
0.41406,724203095401,0.29648,0.06755
0.42175,724203172387,0.29647,0.06798
0.42773,724203232362,0.29657,0.06725
0.43445,724203299681,0.29675,0.06623
0.4411,724203366333,0.29667,0.06639
0.44812,724203436522,0.29649,0.0673
0.45428,724203497986,0.29628,0.06827
0.461,724203565120,0.29616,0.0685
0.46881,724203642900,0.29594,0.06898
0.47913,724203746360,0.29576,0.06937
0.4823,724203778013,0.29517,0.06994
0.48975,724203852756,0.29535,0.07037
0.4939,724203894214,0.29558,0.07072
0.50079,724203962757,0.29612,0.07116
0.50745,724204029399,0.29609,0.07152
0.51392,724204094457,0.29606,0.07187
0.52167,724204171439,0.29703,0.07267
0.52832,724204238318,0.29851,0.07398
0.53485,724204303790,0.3,0.07523
0.54169,724204371651,0.3133,0.10073
0.54877,724204442834,0.33491,0.12259
0.55463,724204501027,0.3417,0.13133
0.56177,724204572835,0.34788,0.13218
0.56842,724204639468,0.3522,0.13655
0.57471,724204702162,0.35509,0.13946
0.58527,724204807430,0.35548,0.13742
0.58881,724204843317,0.35629,0.13832
0.59576,724204912757,0.35706,0.13853
0.60126,724204967349,0.35837,0.13766
0.60791,724205034266,0.35731,0.13514
0.61456,724205100858,0.35638,0.1332
0.62115,724205166901,0.35658,0.13054
0.6283,724205237768,0.35528,0.13013
0.63544,724205309539,0.35407,0.13004
0.64209,724205375872,0.35439,0.13111
0.64893,724205444044,0.3539,0.13057
0.65601,724205515250,0.35343,0.13021
0.66302,724205585163,0.35392,0.13114
